Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,attack_probability,anomaly_score,risk_score,priority,true_label
443,98226,7,4,376,3508,201,0,53.71428571,78.68653906,2042,0,877.0,1036.803421,39541.4656,111.986643,9822.6,16433.11592,40226,49,98226,16371.0,20748.00764,44673,181,44909,14969.66667,22286.3789,40588,49,0,0,0,0,152,92,71.26422739,40.72241565,0,2042,323.6666667,681.0169312,463784.0606,0,0,0,1,0,0,0,0,0,353.0909091,53.71428571,877.0,152,0,0,0,0,0,0,7,376,4,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,2.6569367e-06,-0.1467237428288267,14.8,,0
53,263,2,2,66,386,33,33,33.0,0.0,193,193,193.0,0.0,1718631.179,15209.12548,87.66666667,68.70468203,167,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,7604.562738,7604.562738,33,193,97.0,87.6356092,7680.0,0,0,0,0,0,0,0,0,1,121.25,33.0,193.0,40,0,0,0,0,0,0,2,66,2,386,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1.8214661e-06,-0.2155888491279307,2.5,,0
80,84895056,8,6,367,11595,367,0,45.875,129.7540943,5792,0,1932.5,2181.008184,140.903376,0.164909485,6530388.923,23500000.0,84700000,1,84800000,12100000.0,32000000.0,84700000,1,146328,29265.6,57819.78192,132143,46,0,0,0,0,264,200,0.094233992,0.070675494,0,5792,797.4666667,1620.994266,2627622.41,0,0,0,0,1,0,0,0,0,854.4285714,45.875,1932.5,264,0,0,0,0,0,0,8,367,6,11595,274,235,1,32,971.0,0.0,971,971,84700000.0,0.0,84700000,84700000,0.9999988,0.0816056747830363,95.4,,1
443,1997618,7,6,1605,1090,1037,0,229.2857143,403.5788706,953,0,181.6666667,381.8275352,1349.106786,6.507750731,166468.1667,562683.6614,1952872,50,44746,7457.666667,17173.99817,42501,154,1997417,399483.4,890477.9371,1992418,466,0,0,0,0,232,200,3.504173471,3.003577261,0,1037,192.5,367.2611207,134880.7308,0,0,0,1,0,0,0,0,0,207.3076923,229.2857143,181.6666667,232,0,0,0,0,0,0,7,1605,6,1090,29200,8,3,32,0.0,0.0,0,0,0.0,0.0,0,0,5.7646093e-06,-0.1494324289461038,14.3,,0
44584,4,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,750000.0,2.0,2.828427125,4,0,4,2.0,2.828427125,4,0,0,0.0,0.0,0,0,0,0,0,0,96,0,750000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,395,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1.1321357e-05,-0.1917313784565072,6.8,,0
53,109332,2,2,66,246,33,33,33.0,0.0,123,123,123.0,0.0,2853.693338,36.58581202,36444.0,63077.8305,109280,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,40,18.29290601,18.29290601,33,123,69.0,49.29503018,2430.0,0,0,0,0,0,0,0,0,1,86.25,33.0,123.0,64,0,0,0,0,0,0,2,66,2,246,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1.1396777e-06,-0.2283673366413018,0.2,,0
53,210,2,2,66,258,33,33,33.0,0.0,129,129,129.0,0.0,1542857.143,19047.61905,70.0,81.95730596,161,2,2,2.0,0.0,2,2,47,47.0,0.0,47,47,0,0,0,0,80,40,9523.809524,9523.809524,33,129,71.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,89.25,33.0,129.0,80,0,0,0,0,0,0,2,66,2,258,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,3.7019713e-06,-0.2152043291670474,2.6,,0
59173,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,340,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2.438402e-05,-0.1950762242186354,6.2,,0
53,24868,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,16084.92842,160.8492842,8289.333333,14350.61829,24860,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,80.42464211,80.42464211,36,164,87.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,64,0,0,0,0,0,0,2,72,2,328,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,2.5574916e-06,-0.2250686901485293,0.8,,0
80,98739852,6,8,331,11595,313,0,55.16666667,126.3462175,5792,0,1449.375,1895.881019,120.7820324,0.141786723,7595373.231,27400000.0,98700000,45,98700000,19700000.0,44100000.0,98700000,1991,98700000,14100000.0,37300000.0,98700000,45,0,0,0,0,164,264,0.060765738,0.081020984,0,5792,795.4666667,1525.325767,2326618.695,1,0,0,0,0,0,0,0,1,852.2857143,55.16666667,1449.375,164,0,0,0,0,0,0,6,331,8,11595,0,235,3,20,14023.0,0.0,14023,14023,98700000.0,0.0,98700000,98700000,0.9999896,0.1242152692302106,100.0,,1
